date,location,latitude,longitude,temperature,humidity,rainfall,wind_speed,air_pressure,co2,source
2024-01-01,Karachi,24.8607,67.0011,23.1,68.2,0.0,13.7,1012.0,418.5,Weather Station
2024-01-01,Lahore,31.5204,74.3587,19.7,53.0,7.5,27.3,1011.7,422.5,Weather Station
2024-01-01,Islamabad,33.6844,73.0479,14.6,54.3,2.1,22.8,1016.7,407.0,Satellite Telemetry
2024-01-01,Peshawar,34.0151,71.5249,15.6,43.2,0.5,27.5,1012.3,409.2,Sensor Network
2024-01-01,Quetta,30.1798,66.975,9.3,38.3,0.1,14.7,1021.6,396.4,Satellite Telemetry
2024-01-01,Multan,30.1575,71.5249,23.8,42.8,5.4,10.4,1014.4,418.0,Environmental IoT
2024-01-01,Hyderabad,25.396,68.3578,22.5,68.9,0.6,20.3,1014.5,414.1,Environmental IoT
2024-01-01,Faisalabad,31.4504,73.135,21.3,51.2,4.8,21.4,1010.3,424.9,Weather Station
2024-01-02,Karachi,24.8607,67.0011,20.1,70.3,3.1,11.0,1011.2,417.4,Environmental IoT
2024-01-02,Lahore,31.5204,74.3587,20.8,56.0,6.7,26.4,1015.0,423.5,Environmental IoT
2024-01-02,Islamabad,33.6844,73.0479,12.9,47.0,6.7,26.1,1013.3,404.1,Satellite Telemetry
2024-01-02,Peshawar,34.0151,71.5249,15.1,44.4,0.0,15.2,1014.6,411.2,Sensor Network
2024-01-02,Quetta,30.1798,66.975,8.9,38.1,0.7,27.1,1017.3,395.0,Environmental IoT
2024-01-02,Multan,30.1575,71.5249,25.0,42.7,0.0,19.3,1012.9,422.3,Satellite Telemetry
2024-01-02,Hyderabad,25.396,68.3578,21.5,61.7,2.2,27.8,1009.2,411.2,Environmental IoT
2024-01-02,Faisalabad,31.4504,73.135,21.5,53.7,4.6,14.4,1011.0,424.6,Weather Station
2024-01-03,Karachi,24.8607,67.0011,22.0,67.7,5.3,14.8,1009.4,416.0,Satellite Telemetry
2024-01-03,Lahore,31.5204,74.3587,19.9,57.3,2.4,21.0,1012.0,420.2,Environmental IoT
2024-01-03,Islamabad,33.6844,73.0479,14.1,52.3,8.3,25.8,1013.4,406.9,Weather Station
2024-01-03,Peshawar,34.0151,71.5249,17.8,45.5,6.4,25.8,1017.4,411.9,Environmental IoT
2024-01-03,Quetta,30.1798,66.975,10.1,32.0,2.4,25.5,1017.6,399.7,Satellite Telemetry
2024-01-03,Multan,30.1575,71.5249,23.7,45.7,0.0,21.5,1013.9,422.8,Weather Station
2024-01-03,Hyderabad,25.396,68.3578,19.5,68.5,0.8,23.7,1011.7,413.2,Environmental IoT
2024-01-03,Faisalabad,31.4504,73.135,19.6,50.4,5.8,22.9,1011.6,425.9,Satellite Telemetry
2024-01-04,Karachi,24.8607,67.0011,21.8,66.8,0.0,14.1,1011.4,418.3,Environmental IoT
2024-01-04,Lahore,31.5204,74.3587,17.7,54.8,5.7,27.4,1015.0,421.8,Sensor Network
2024-01-04,Islamabad,33.6844,73.0479,15.4,48.3,8.7,13.9,1013.8,402.8,Sensor Network
2024-01-04,Peshawar,34.0151,71.5249,14.9,51.4,4.6,24.7,1015.4,412.9,Sensor Network
2024-01-04,Quetta,30.1798,66.975,9.9,35.6,1.0,12.7,1016.6,400.9,Satellite Telemetry
2024-01-04,Multan,30.1575,71.5249,22.3,41.3,1.1,10.2,1011.9,421.0,Environmental IoT
2024-01-04,Hyderabad,25.396,68.3578,20.6,60.7,0.2,15.6,1010.4,416.5,Sensor Network
2024-01-04,Faisalabad,31.4504,73.135,20.3,49.3,4.4,17.2,1015.2,423.6,Sensor Network
2024-01-05,Karachi,24.8607,67.0011,22.8,69.1,0.0,17.9,1013.7,419.4,Environmental IoT
2024-01-05,Lahore,31.5204,74.3587,18.3,58.4,3.6,14.5,1014.1,420.1,Weather Station
2024-01-05,Islamabad,33.6844,73.0479,12.6,53.2,6.8,18.6,1013.3,406.0,Satellite Telemetry
2024-01-05,Peshawar,34.0151,71.5249,15.3,44.3,4.6,26.3,1016.2,410.0,Environmental IoT
2024-01-05,Quetta,30.1798,66.975,9.4,34.9,0.5,27.9,1016.1,395.8,Satellite Telemetry
2024-01-05,Multan,30.1575,71.5249,22.4,42.0,0.6,14.8,1010.9,422.2,Sensor Network
2024-01-05,Hyderabad,25.396,68.3578,21.2,61.8,5.8,16.4,1011.1,411.6,Environmental IoT
2024-01-05,Faisalabad,31.4504,73.135,20.1,50.4,6.2,17.7,1013.8,423.9,Sensor Network
2024-01-06,Karachi,24.8607,67.0011,22.8,70.2,0.0,14.0,1008.2,417.4,Satellite Telemetry
2024-01-06,Lahore,31.5204,74.3587,20.9,53.5,3.0,15.6,1012.2,423.6,Satellite Telemetry
2024-01-06,Islamabad,33.6844,73.0479,13.6,47.1,8.3,27.5,1015.1,404.2,Sensor Network
2024-01-06,Peshawar,34.0151,71.5249,15.5,51.6,5.8,16.6,1012.3,409.0,Satellite Telemetry
2024-01-06,Quetta,30.1798,66.975,11.6,37.3,0.0,21.6,1020.6,398.4,Environmental IoT
2024-01-06,Multan,30.1575,71.5249,24.3,45.0,0.0,11.5,1009.4,417.6,Satellite Telemetry
2024-01-06,Hyderabad,25.396,68.3578,21.2,68.5,0.2,19.6,1009.7,415.4,Environmental IoT
2024-01-06,Faisalabad,31.4504,73.135,18.5,53.1,0.0,14.1,1012.8,424.1,Satellite Telemetry
2024-01-07,Karachi,24.8607,67.0011,21.2,66.1,0.0,27.5,1009.7,420.5,Sensor Network
2024-01-07,Lahore,31.5204,74.3587,19.6,54.5,2.5,25.1,1014.6,423.6,Sensor Network
2024-01-07,Islamabad,33.6844,73.0479,13.5,48.5,1.6,27.0,1016.1,407.1,Environmental IoT
