date,location,latitude,longitude,temperature,humidity,rainfall,wind_speed,air_pressure,co2,source
2024-01-01,Karachi,24.8607,67.0011,22.6,74.1,0.0,17.0,1009.0,416.7,Satellite Telemetry
2024-01-01,Lahore,31.5204,74.3587,18.3,54.7,2.5,25.3,1014.1,423.4,Environmental IoT
2024-01-01,Islamabad,33.6844,73.0479,13.4,46.5,1.5,14.6,1017.5,405.2,Weather Station
2024-01-01,Peshawar,34.0151,71.5249,14.6,44.1,1.8,23.6,1013.4,411.9,Satellite Telemetry
2024-01-01,Quetta,30.1798,66.975,8.4,34.3,4.6,25.4,1021.7,395.2,Environmental IoT
2024-01-01,Multan,30.1575,71.5249,21.5,45.2,0.0,12.6,1013.7,417.2,Sensor Network
2024-01-01,Hyderabad,25.396,68.3578,20.3,64.0,2.1,16.4,1013.6,414.2,Satellite Telemetry
2024-01-01,Faisalabad,31.4504,73.135,18.3,49.6,3.5,22.4,1014.8,423.7,Satellite Telemetry
2024-01-02,Karachi,24.8607,67.0011,20.7,69.5,0.0,13.0,1012.1,417.0,Satellite Telemetry
2024-01-02,Lahore,31.5204,74.3587,18.6,51.5,5.8,20.1,1016.2,422.7,Satellite Telemetry
2024-01-02,Islamabad,33.6844,73.0479,13.5,45.2,9.3,25.4,1017.6,402.5,Satellite Telemetry
2024-01-02,Peshawar,34.0151,71.5249,17.8,44.1,4.6,24.6,1016.1,411.0,Environmental IoT
2024-01-02,Quetta,30.1798,66.975,9.1,34.7,4.6,11.0,1020.4,400.8,Sensor Network
2024-01-02,Multan,30.1575,71.5249,24.0,46.3,3.5,23.6,1009.1,419.1,Weather Station
2024-01-02,Hyderabad,25.396,68.3578,20.7,62.4,2.3,19.9,1009.9,413.6,Environmental IoT
2024-01-02,Faisalabad,31.4504,73.135,21.1,51.0,2.1,10.9,1011.7,427.0,Sensor Network
2024-01-03,Karachi,24.8607,67.0011,20.9,67.6,0.1,21.6,1008.7,418.7,Satellite Telemetry
2024-01-03,Lahore,31.5204,74.3587,17.8,59.5,5.2,23.1,1015.3,423.6,Weather Station
2024-01-03,Islamabad,33.6844,73.0479,12.7,50.6,3.0,11.2,1014.9,403.2,Environmental IoT
2024-01-03,Peshawar,34.0151,71.5249,14.8,50.4,4.7,27.9,1013.3,412.5,Environmental IoT
2024-01-03,Quetta,30.1798,66.975,11.4,32.4,0.0,23.9,1018.8,400.5,Environmental IoT
2024-01-03,Multan,30.1575,71.5249,23.6,46.6,3.6,27.5,1014.4,418.8,Environmental IoT
2024-01-03,Hyderabad,25.396,68.3578,21.2,62.0,4.1,18.6,1012.8,416.8,Environmental IoT
2024-01-03,Faisalabad,31.4504,73.135,18.0,55.8,0.0,27.8,1012.0,423.6,Satellite Telemetry
2024-01-04,Karachi,24.8607,67.0011,22.7,71.2,0.0,20.6,1012.5,416.0,Environmental IoT
2024-01-04,Lahore,31.5204,74.3587,19.4,55.3,0.1,27.2,1011.7,423.2,Environmental IoT
2024-01-04,Islamabad,33.6844,73.0479,12.4,45.8,7.5,14.2,1013.9,403.3,Sensor Network
2024-01-04,Peshawar,34.0151,71.5249,16.8,52.3,0.3,16.5,1017.7,410.5,Environmental IoT
2024-01-04,Quetta,30.1798,66.975,10.3,35.2,0.0,25.0,1019.2,398.7,Sensor Network
2024-01-04,Multan,30.1575,71.5249,23.8,41.3,0.6,22.7,1014.1,419.3,Environmental IoT
2024-01-04,Hyderabad,25.396,68.3578,22.8,68.8,0.0,24.7,1012.3,411.3,Satellite Telemetry
2024-01-04,Faisalabad,31.4504,73.135,19.6,48.3,4.8,23.0,1012.3,425.4,Weather Station
2024-01-05,Karachi,24.8607,67.0011,22.6,68.1,0.0,27.5,1010.5,420.9,Environmental IoT
2024-01-05,Lahore,31.5204,74.3587,17.4,56.0,6.8,18.2,1012.8,422.6,Satellite Telemetry
2024-01-05,Islamabad,33.6844,73.0479,14.6,54.2,7.4,27.7,1018.3,402.2,Satellite Telemetry
2024-01-05,Peshawar,34.0151,71.5249,15.8,44.1,0.0,23.7,1014.4,409.7,Sensor Network
2024-01-05,Quetta,30.1798,66.975,10.2,31.2,2.1,19.0,1020.8,399.7,Sensor Network
2024-01-05,Multan,30.1575,71.5249,24.8,40.5,2.4,25.7,1011.5,418.4,Weather Station
2024-01-05,Hyderabad,25.396,68.3578,19.2,62.4,0.0,26.1,1013.5,414.6,Satellite Telemetry
2024-01-05,Faisalabad,31.4504,73.135,18.8,52.4,3.8,18.4,1012.6,425.0,Environmental IoT
2024-01-06,Karachi,24.8607,67.0011,20.5,74.6,1.4,16.9,1010.1,419.3,Satellite Telemetry
2024-01-06,Lahore,31.5204,74.3587,19.0,57.4,1.2,14.6,1014.5,419.2,Satellite Telemetry
2024-01-06,Islamabad,33.6844,73.0479,15.0,47.9,8.9,21.9,1015.7,407.9,Sensor Network
2024-01-06,Peshawar,34.0151,71.5249,15.5,45.7,3.3,20.4,1013.8,412.9,Satellite Telemetry
2024-01-06,Quetta,30.1798,66.975,10.4,40.0,0.0,27.7,1017.5,399.0,Satellite Telemetry
2024-01-06,Multan,30.1575,71.5249,23.8,45.5,2.4,25.3,1010.0,419.6,Satellite Telemetry
2024-01-06,Hyderabad,25.396,68.3578,20.8,65.1,4.2,19.4,1014.5,414.5,Environmental IoT
2024-01-06,Faisalabad,31.4504,73.135,18.0,48.2,6.4,15.4,1012.1,422.9,Satellite Telemetry
2024-01-07,Karachi,24.8607,67.0011,22.6,71.2,0.0,21.0,1008.4,419.7,Weather Station
2024-01-07,Lahore,31.5204,74.3587,21.0,51.7,5.7,24.6,1014.8,422.1,Weather Station
2024-01-07,Islamabad,33.6844,73.0479,13.7,49.8,6.6,10.5,1015.9,407.5,Environmental IoT
2024-01-07,Peshawar,34.0151,71.5249,14.6,49.1,4.7,11.1,1017.5,410.7,Sensor Network
2024-01-07,Quetta,30.1798,66.975,10.0,32.1,0.0,20.3,1021.7,395.2,Satellite Telemetry
2024-01-07,Multan,30.1575,71.5249,24.5,43.8,5.4,23.8,1012.9,418.8,Weather Station
2024-01-07,Hyderabad,25.396,68.3578,22.0,69.1,0.0,13.6,1010.1,417.1,Sensor Network
2024-01-07,Faisalabad,31.4504,73.135,21.2,50.6,0.0,25.7,1012.7,422.2,Environmental IoT
2024-01-08,Karachi,24.8607,67.0011,20.3,71.3,3.6,21.5,1012.0,418.0,Weather Station
2024-01-08,Lahore,31.5204,74.3587,19.6,50.3,7.2,14.7,1015.8,421.8,Weather Station
2024-01-08,Islamabad,33.6844,73.0479,14.9,52.8,2.6,17.3,1015.6,407.1,Weather Station
2024-01-08,Peshawar,34.0151,71.5249,17.5,52.6,6.7,20.6,1015.5,407.7,Weather Station
2024-01-08,Quetta,30.1798,66.975,10.3,35.9,0.0,14.3,1017.7,400.9,Weather Station
2024-01-08,Multan,30.1575,71.5249,22.4,48.9,2.3,11.6,1014.5,417.8,Weather Station
2024-01-08,Hyderabad,25.396,68.3578,20.2,67.8,5.4,11.2,1010.5,416.3,Environmental IoT
2024-01-08,Faisalabad,31.4504,73.135,19.5,55.8,0.0,18.9,1012.2,424.3,Weather Station
2024-01-09,Karachi,24.8607,67.0011,21.7,73.5,0.0,17.7,1012.9,418.5,Satellite Telemetry
2024-01-09,Lahore,31.5204,74.3587,17.8,50.1,3.1,24.5,1016.3,423.6,Environmental IoT
2024-01-09,Islamabad,33.6844,73.0479,15.4,46.0,8.7,17.8,1013.7,402.7,Sensor Network
2024-01-09,Peshawar,34.0151,71.5249,17.7,50.3,3.6,19.1,1013.4,407.8,Sensor Network
2024-01-09,Quetta,30.1798,66.975,11.1,30.6,0.0,21.2,1019.6,395.7,Weather Station
2024-01-09,Multan,30.1575,71.5249,22.7,48.1,3.4,15.0,1014.1,422.8,Satellite Telemetry
